name,export_rva,target_rva,target_size,source,status,notes
??$?8DV?$char_traits@D@_STL@@V?$allocator@D@1@@_STL@@YA_NABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@0@0@Z,,0x00832760,47,Code/GameEngine/Source/GameLogic/Object/Update/OCLUpdate.cpp,matched,
??$?8DV?$char_traits@D@_STL@@V?$allocator@D@1@@_STL@@YA_NABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@0@PBD@Z,,0x0063B2A0,58,Code/GameEngine/Source/GameNetwork/GameSpy/Thread/BuddyThread.cpp,matched,
??$?9D@@YA_NPBDABV?$StringBase@D@@@Z,0x0087F570,0x0087F570,21,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,operator!= reversed args char
??$Binary_Search@UNodeElement@?$IndexClass@HPAUINIEntry@@@@@@YAPAUNodeElement@?$IndexClass@HPAUINIEntry@@@@PAU01@HABU01@@Z,,0x009E2A80,70,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,matched,Binary_Search sibling
??$Binary_Search@UNodeElement@?$IndexClass@HPAUINISection@@@@@@YAPAUNodeElement@?$IndexClass@HPAUINISection@@@@PAU01@HABU01@@Z,,0x009E2AD0,70,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,matched,Binary_Search sibling
??$Copy_Emitter_Property_Struct@M@@YAXAAU?$ParticlePropertyStruct@M@@ABU0@@Z,,0x0098D170,130,Code/Libraries/Source/WWVegas/WW3D2/part_ldr.cpp,matched,
??$Copy_Emitter_Property_Struct@VVector3@@@@YAXAAU?$ParticlePropertyStruct@VVector3@@@@ABU0@@Z,,0x0098D080,237,Code/Libraries/Source/WWVegas/WW3D2/part_ldr.cpp,matched,
??$Generate_Prime@V?$Int@$0EA@@@@@YA?AV?$Int@$0EA@@@AAVStraw@@HPBV0@@Z,,0x009EAF70,793,Code/Libraries/Source/WWVegas/WWLib/pk.cpp,matched,
??$Pick_Random_Number@VRandom2Class@@@@YAHAAVRandom2Class@@HH@Z,,0x009E61C0,159,Code/Libraries/Source/WWVegas/WWLib/random.cpp,matched,
??$Pick_Random_Number@VRandom3Class@@@@YAHAAVRandom3Class@@HH@Z,,0x009E6260,100,Code/Libraries/Source/WWVegas/WWLib/random.cpp,matched,
??$Pick_Random_Number@VRandom4Class@@@@YAHAAVRandom4Class@@HH@Z,,0x009E62D0,100,Code/Libraries/Source/WWVegas/WWLib/random.cpp,matched,
??$Pick_Random_Number@VRandomClass@@@@YAHAAVRandomClass@@HH@Z,,0x009E6140,117,Code/Libraries/Source/WWVegas/WWLib/random.cpp,matched,
??$_Construct@U?$pair@$$CBGE@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBGE@0@ABU10@@Z,,0x00665240,25,Code/GameEngine/Source/GameNetwork/ConnectionManager.cpp,matched,
??$_Construct@U?$pair@$$CBVUnicodeString@@V1@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBVUnicodeString@@V1@@0@ABU10@@Z,,0x0068F900,66,Code/GameEngine/Source/GameNetwork/LANGameInfo.cpp,matched,
??$_Construct@U?$pair@$$CBW4NameKeyType@@VModuleTemplate@ModuleFactory@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBW4NameKeyType@@VModuleTemplate@ModuleFactory@@@0@ABU10@@Z,,0x000699F0,39,Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp,matched,
??$_Construct@URunwayInfo@ParkingPlaceBehavior@@U12@@_STL@@YAXPAURunwayInfo@ParkingPlaceBehavior@@ABU12@@Z,,0x007494A0,24,Code/GameEngine/Source/GameLogic/Object/Behavior/ParkingPlaceBehavior.cpp,matched,
??$_Construct@UWeaponDelayedDamageInfo@WeaponStore@@U12@@_STL@@YAXPAUWeaponDelayedDamageInfo@WeaponStore@@ABU12@@Z,,0x0028D4C0,24,Code/GameEngine/Source/GameLogic/Object/Weapon.cpp,matched,
??$_Construct@VGameResultsRequest@@V1@@_STL@@YAXPAVGameResultsRequest@@ABV1@@Z,,0x00641B70,66,Code/GameEngine/Source/GameNetwork/GameSpy/Thread/GameResultsThread.cpp,matched,
??$_Construct@VPlayerTemplate@@V1@@_STL@@YAXPAVPlayerTemplate@@ABV1@@Z,,0x000E3B70,66,Code/GameEngine/Source/Common/RTS/PlayerTemplate.cpp,matched,
??$_Construct@VUnicodeString@@V1@@_STL@@YAXPAVUnicodeString@@ABV1@@Z,,0x0009EF50,66,Code/GameEngine/Source/GameNetwork/GameSpy/PeerDefs.cpp,matched,
??$_Construct@VWeaponTemplateSet@@V1@@_STL@@YAXPAVWeaponTemplateSet@@ABV1@@Z,,0x002E2F30,24,Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp,matched,
??$__adjust_heap@PAU?$pair@W4ObjectID@@I@_STL@@HU12@P6A_NU12@0@Z@_STL@@YAXPAU?$pair@W4ObjectID@@I@0@HHU10@P6A_N11@Z@Z,,0x000954A0,166,Code/GameEngine/Source/GameLogic/AI/partition_solver.cpp,matched,
